Value,Age,Overall,Potential,Wage,Special,International Reputation,Weak Foot,Skill Moves,Jersey Number,Feet,Inches,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
32.5,21,82,90,125,2120,1,3,4,8,5,7,161,732,732,732,772,782,782,782,772,792,792,792,782,802,802,802,782,752,762,762,762,752,732,712,712,712,732,70,72,58,85,63,82,68,60,80,83,68,70,79,81,86,76,83,78,62,74,73,75,77,82,69,84,65,76,70,6,13,13,11,12,73.1
16.5,30,82,82,46,2061,1,4,2,13,5,9,154,672,672,672,712,712,712,712,712,732,732,732,742,772,772,772,742,792,802,802,802,792,802,782,782,782,802,61,53,70,82,57,77,54,57,78,76,80,81,72,80,80,60,43,93,68,59,75,82,58,77,77,81,83,86,80,15,14,14,10,9,31.4
6.5,34,82,82,39,2003,1,3,2,3,5,11,181,662,662,662,602,632,632,632,602,612,612,612,612,642,642,642,612,712,732,732,732,712,742,802,802,802,742,40,56,83,67,63,60,72,58,58,64,68,74,61,78,63,74,91,76,79,61,86,82,58,50,62,70,77,85,84,18,12,14,11,18,12.4
29.5,23,82,87,59,2023,3,3,5,18,5,8,159,743,743,743,813,793,793,793,813,793,793,793,813,733,733,733,813,683,623,623,623,683,653,533,533,533,653,81,66,51,78,74,85,82,60,55,83,95,94,94,83,92,72,65,87,48,69,60,43,82,79,66,85,54,46,36,12,9,7,6,9,62.7
29,21,82,86,36,2006,1,3,4,17,5,10,150,762,762,762,802,802,802,802,802,792,792,792,802,732,732,732,802,632,592,592,592,632,592,502,502,502,592,76,75,60,77,71,86,76,70,68,81,89,90,85,80,78,81,65,81,62,77,67,50,77,77,69,80,24,34,30,9,12,11,9,9,63.1
25,22,82,87,98,2111,2,3,3,14,5,6,141,682,682,682,742,732,732,732,742,752,752,752,752,782,782,782,752,802,812,812,812,802,792,772,772,772,792,74,50,55,83,65,78,66,76,77,81,81,74,83,79,93,78,52,85,66,74,85,87,65,74,48,78,84,84,75,5,5,13,7,9,49.4
31.5,21,82,89,140,1984,2,4,4,14,5,8,163,772,772,772,822,812,812,812,822,822,822,822,812,752,752,752,812,582,552,552,552,582,532,432,432,432,532,79,75,57,82,71,85,77,81,73,85,87,82,92,80,84,85,58,74,64,85,53,26,79,83,68,78,21,28,17,8,14,15,7,9,70.9
25.5,22,82,88,53,1953,1,3,3,21,6,0,168,652,652,652,682,672,672,672,682,682,682,682,712,702,702,702,712,802,782,782,782,802,812,812,812,812,812,78,42,83,80,38,65,53,28,63,79,80,84,70,80,67,62,83,82,76,47,86,81,57,61,34,76,76,83,86,10,7,8,14,10,57.4
26,23,82,88,135,1775,1,4,2,15,6,1,179,572,572,572,582,602,602,602,582,622,622,622,622,682,682,682,622,722,772,772,772,722,752,802,802,802,752,36,23,78,78,24,60,25,27,69,76,72,73,62,79,60,58,79,73,80,35,80,82,47,60,43,74,85,82,81,10,10,9,12,7,58.5
26,27,82,83,54,2013,2,4,4,27,5,10,161,802,802,802,812,812,812,812,812,792,792,792,782,702,702,702,782,582,532,532,532,582,532,472,472,472,532,75,86,69,79,84,87,79,74,53,86,78,72,82,81,82,82,69,76,68,80,73,21,84,66,88,79,35,20,26,8,14,14,7,15,46.2
24.5,24,82,87,98,2023,1,2,3,3,5,10,141,682,682,682,742,722,722,722,742,732,732,732,762,742,742,742,762,812,772,772,772,812,802,752,752,752,802,86,57,63,76,32,76,74,30,68,78,81,86,78,81,74,67,59,89,66,60,78,80,66,74,55,73,80,81,78,11,8,10,7,14,48.4
20,28,82,83,33,1940,2,3,3,16,5,11,176,622,622,622,642,662,662,662,642,702,702,702,672,772,772,772,672,722,802,802,802,722,712,742,742,742,712,55,51,46,86,52,66,61,57,81,81,53,35,67,72,72,74,65,88,75,58,88,82,60,76,58,71,72,81,77,6,14,14,6,11,43.5
29.5,24,82,87,110,2096,2,3,5,20,6,1,170,752,752,752,812,802,802,802,812,812,812,812,812,782,782,782,812,712,682,682,682,712,682,592,592,592,682,82,70,50,82,74,86,82,80,72,87,83,83,85,80,79,82,49,80,63,82,52,66,78,80,72,83,65,46,42,14,15,10,13,12,50.9
30.5,22,82,88,68,1905,2,4,4,10,6,1,185,752,752,752,812,802,802,802,812,812,812,812,802,742,742,742,802,592,562,562,562,592,542,432,432,432,542,77,78,42,82,66,87,72,59,69,85,78,84,82,80,78,80,63,73,69,78,42,29,78,83,54,69,38,20,24,11,16,11,8,9,58
24.5,23,82,86,95,1705,2,3,2,15,6,3,185,552,552,552,542,552,552,552,542,562,562,562,562,612,612,612,562,702,742,742,742,702,732,802,802,802,732,40,33,80,65,35,64,45,25,59,65,56,67,59,78,53,58,81,67,79,39,72,86,28,50,36,70,87,86,82,5,10,5,5,5,42.3
29,23,82,86,94,1968,2,2,4,7,6,0,148,742,742,742,812,802,802,802,812,812,812,812,802,752,752,752,802,632,612,612,612,632,592,502,502,502,592,81,77,43,80,58,85,78,75,77,83,85,86,83,82,78,78,63,55,50,73,48,50,81,81,59,71,45,43,25,13,16,15,8,14,51.5
25.5,24,82,88,95,2174,2,3,4,2,6,0,163,742,742,742,792,782,782,782,792,782,782,782,812,782,782,782,812,822,782,782,782,822,812,752,752,752,812,85,58,64,78,62,84,83,69,75,83,91,91,78,82,74,80,73,89,66,66,73,77,78,74,46,77,79,79,79,6,9,15,14,14,47.2
26.5,23,82,89,84,1750,2,3,2,13,6,2,172,562,562,562,552,562,562,562,552,572,572,572,582,632,632,632,582,712,762,762,762,712,742,812,812,812,742,36,30,76,70,28,65,36,24,69,69,63,69,60,78,53,64,78,75,81,46,84,85,31,40,34,76,88,85,81,9,14,12,8,9,50.4
25.5,25,82,88,59,2068,1,3,3,5,6,1,170,712,712,712,722,732,732,732,722,752,752,752,742,782,782,782,742,772,802,802,802,772,772,792,792,792,772,58,63,68,85,53,78,62,58,79,81,73,76,72,77,53,79,84,87,81,75,76,79,60,73,46,75,80,83,80,11,13,9,9,7,57.4
26.5,25,82,84,140,2180,1,4,4,17,5,7,141,742,742,742,772,772,772,772,772,792,792,792,782,802,802,802,782,782,792,792,792,782,772,732,732,732,772,67,74,55,85,70,79,70,72,80,86,77,79,84,82,87,76,83,87,61,76,73,80,69,76,65,82,76,78,69,7,16,15,11,15,51
20,31,82,82,96,2082,3,3,3,9,5,10,163,803,803,803,773,793,793,793,773,753,753,753,763,693,693,693,763,673,633,633,633,673,663,623,623,623,663,64,85,69,65,82,76,60,57,48,76,89,91,75,88,76,85,76,86,67,67,92,49,85,72,81,82,56,52,51,15,14,7,15,11,38
30,24,82,87,58,1962,3,5,3,9,5,11,159,803,803,803,733,773,773,773,733,723,723,723,713,643,643,643,713,563,553,553,553,563,543,553,553,553,543,42,88,84,68,80,78,64,56,42,75,78,79,79,76,75,81,83,83,84,67,83,31,85,61,77,75,55,23,32,13,7,12,14,7,53.3
26,26,82,83,67,1936,2,4,4,10,5,10,163,722,722,722,792,782,782,782,792,802,802,802,792,752,752,752,792,612,592,592,592,612,552,462,462,462,552,84,70,45,85,67,82,81,77,69,87,76,70,81,82,82,73,53,74,62,74,62,43,75,83,66,77,35,26,17,13,7,9,15,11,46.2
26.5,25,82,83,140,2095,2,3,4,7,5,9,137,782,782,782,812,812,812,812,812,812,812,812,802,762,762,762,802,702,672,672,672,702,672,602,602,602,672,74,78,64,78,70,83,80,63,66,83,84,82,86,83,86,80,63,87,53,80,73,53,86,82,65,84,65,50,44,14,10,8,13,9,51
21.5,29,82,82,27,1969,2,3,4,22,6,1,181,762,762,762,782,792,792,792,782,802,802,802,772,772,772,772,772,622,662,662,662,622,592,582,582,582,592,73,74,68,84,81,86,79,68,78,87,58,62,69,78,39,76,44,61,79,84,78,54,77,84,67,80,46,40,37,14,15,13,9,7,45.2
22.5,28,82,82,40,2054,2,4,4,7,5,8,139,762,762,762,812,792,792,792,812,792,792,792,802,742,742,742,802,682,622,622,622,682,642,532,532,532,642,80,80,45,78,74,82,74,60,69,82,90,89,93,80,88,79,69,84,58,77,47,49,80,73,75,78,55,40,40,8,14,14,12,16,42.8
22.5,25,82,84,110,1843,2,3,2,16,6,3,187,582,582,582,592,582,582,582,592,602,602,602,622,652,652,652,622,742,762,762,762,742,762,812,812,812,762,68,27,80,75,34,59,35,56,72,69,67,78,59,82,50,70,73,60,82,41,88,80,33,57,40,72,82,85,82,14,15,10,12,8,43.3
20.5,27,82,83,73,2253,3,3,4,16,5,8,148,773,773,773,783,783,783,783,783,783,783,783,793,783,783,783,793,793,773,773,773,793,793,763,763,763,793,77,70,72,77,87,78,73,79,75,79,86,84,87,80,82,82,74,90,67,82,79,78,82,76,76,79,76,79,78,9,8,10,11,10,36.4
23.5,25,82,85,77,1853,1,3,2,6,6,4,220,642,642,642,602,642,642,642,602,652,652,652,632,702,702,702,632,702,772,772,772,702,712,812,812,812,712,44,43,87,77,41,70,38,46,72,76,39,53,52,79,58,68,74,68,89,45,84,78,60,60,44,79,81,84,81,14,16,9,14,9,46.4
21,26,82,83,87,2162,2,4,3,15,6,3,198,782,782,782,782,782,782,782,782,772,772,772,792,782,782,782,792,812,792,792,792,812,802,782,782,782,802,83,76,75,82,79,75,74,56,74,82,74,81,63,80,49,77,72,92,85,78,73,76,80,71,65,78,77,82,80,8,13,15,6,9,40.4
18.5,27,82,82,41,1840,2,3,3,26,6,5,187,632,632,632,612,622,622,622,612,632,632,632,632,682,682,682,632,722,772,772,772,722,742,812,812,812,742,57,38,88,73,26,64,33,58,71,70,62,62,60,79,37,77,47,69,88,55,84,83,48,62,43,78,78,90,78,14,7,10,13,16,31.5
27.5,25,82,85,46,2171,2,2,4,6,6,2,176,772,772,772,762,782,782,782,762,782,782,782,772,802,802,802,772,792,822,822,822,792,792,822,822,822,792,65,69,75,81,59,78,62,56,79,82,69,76,76,84,67,86,83,85,91,80,86,84,78,78,45,82,79,83,82,15,10,10,8,10,59.8
29.5,25,82,87,165,2091,2,4,4,12,5,9,157,752,752,752,792,792,792,792,792,812,812,812,782,792,792,792,782,732,732,732,732,732,712,682,682,682,712,72,73,55,86,76,87,75,61,76,84,71,70,80,79,80,79,73,67,66,82,44,70,77,81,67,80,68,74,66,11,6,15,13,7,62.7
21,27,82,83,44,1959,2,2,2,5,6,2,174,622,622,622,632,622,622,622,632,642,642,642,662,682,682,682,662,752,772,772,772,752,772,812,812,812,772,67,42,81,74,48,60,57,46,69,69,71,74,69,80,67,61,83,72,82,50,82,82,51,65,51,71,82,83,83,15,6,15,15,7,45.7
28.5,25,82,85,135,1886,3,4,3,7,6,2,187,813,813,813,793,803,803,803,793,783,783,783,773,683,683,683,773,563,523,523,523,563,523,483,483,483,523,73,80,86,78,80,83,76,44,51,82,76,86,66,79,60,80,84,68,78,72,56,24,85,76,70,76,37,14,20,4,5,4,4,5,54.9
23.5,27,82,82,28,2042,2,5,4,9,5,7,150,802,802,802,822,822,822,822,822,812,812,812,802,732,732,732,802,612,582,582,582,612,582,512,512,512,582,74,84,74,78,78,84,80,76,66,83,87,83,91,83,87,79,81,69,60,69,55,44,87,79,76,84,34,33,26,6,13,9,7,7,49.4
26,27,82,83,33,2010,2,4,3,17,6,0,161,812,812,812,802,812,812,812,802,792,792,792,792,722,722,722,792,602,582,582,582,602,572,512,512,512,572,74,84,71,75,80,80,78,54,66,82,88,88,80,81,72,84,79,79,76,74,72,39,85,73,69,80,32,29,21,6,13,6,14,6,59.2
26,26,82,83,26,2027,2,4,4,17,5,9,154,762,762,762,812,802,802,802,812,812,812,812,812,772,772,772,812,682,652,652,652,682,652,562,562,562,652,86,78,61,83,64,86,84,74,77,84,75,76,80,77,81,76,40,72,58,77,46,50,79,84,69,74,57,49,46,16,7,15,6,14,56.6
28.5,25,82,85,78,1930,2,3,5,11,5,11,146,762,762,762,822,802,802,802,822,802,802,802,812,712,712,712,812,602,552,552,552,602,552,452,452,452,552,81,77,47,75,61,90,57,51,65,87,89,92,88,77,82,78,57,76,75,68,73,23,78,77,66,81,22,29,28,15,10,15,11,10,56.3
28.5,25,82,85,67,1941,2,3,4,10,6,0,163,772,772,772,822,822,822,822,822,842,842,842,822,792,792,792,822,602,592,592,592,602,542,442,442,442,542,76,80,49,88,76,86,86,81,87,88,77,72,79,83,74,77,54,73,67,77,29,28,81,87,56,72,44,25,18,6,8,6,12,11,50.6
22.5,28,82,82,31,2152,2,4,4,23,5,7,141,732,732,732,802,792,792,792,802,812,812,812,802,802,802,802,802,732,732,732,732,732,702,642,642,642,702,75,78,41,84,65,84,80,76,78,82,86,76,89,81,92,70,88,79,67,79,56,73,72,84,74,80,56,68,55,16,16,9,14,9,49.5
21,27,82,83,32,2032,3,3,3,5,6,0,161,683,683,683,693,713,713,713,693,723,723,723,713,753,753,753,713,753,793,793,793,753,763,803,803,803,763,55,55,82,79,43,70,66,45,78,80,75,72,72,82,71,66,89,67,71,62,80,86,61,75,52,76,77,83,80,10,15,13,12,8,45.7
21,27,82,83,19,1714,3,3,2,4,6,5,203,583,583,583,533,573,573,573,533,573,573,573,573,653,653,653,573,683,763,763,763,683,703,813,813,813,703,17,42,80,72,39,64,39,19,70,62,46,64,32,75,30,50,54,81,94,30,83,80,49,50,65,74,84,85,85,16,13,15,16,13,43.6
26.5,26,82,83,44,1945,2,4,4,12,6,2,205,812,812,812,742,782,782,782,742,752,752,752,732,692,692,692,732,562,572,572,572,562,542,552,552,552,542,54,84,84,78,80,79,68,71,50,80,62,65,65,81,43,84,72,73,90,77,65,35,87,68,80,75,40,32,30,15,14,16,15,8,57.6
18.5,27,82,82,1,2102,2,3,3,6,6,2,176,722,722,722,742,742,742,742,742,742,742,742,762,762,762,762,762,802,792,792,792,802,802,792,792,792,802,76,56,76,78,52,77,66,39,74,79,79,85,79,80,61,71,84,87,75,58,77,78,76,73,53,76,83,82,84,12,13,14,13,12,40.7
19.5,29,82,83,43,1830,2,2,2,6,6,1,172,572,572,572,562,572,572,572,562,592,592,592,592,662,662,662,592,722,772,772,772,722,742,812,812,812,742,54,37,77,74,39,53,67,46,70,71,55,59,56,78,58,59,78,72,87,38,82,83,39,56,46,72,81,84,85,12,8,6,6,14,42.4
21.5,26,82,83,61,2211,2,4,3,8,6,0,174,762,762,762,742,762,762,762,742,762,762,762,762,782,782,782,762,792,802,802,802,792,802,812,812,812,802,67,72,83,79,66,73,71,68,77,77,76,78,73,81,74,78,91,90,79,74,84,85,75,77,60,81,80,82,81,8,12,11,14,15,38.2
27,26,82,85,67,2101,4,4,4,10,5,9,165,753,753,753,803,803,803,803,803,823,823,823,813,813,813,813,813,723,723,723,723,723,683,633,633,633,683,78,75,51,87,86,84,81,72,82,90,74,64,86,84,85,68,58,73,68,66,58,65,81,86,77,85,63,53,57,14,7,12,6,10,47.9
22.5,26,82,84,115,1914,3,3,2,20,6,0,181,643,643,643,613,623,623,623,613,633,633,633,623,673,673,673,623,723,763,763,763,723,743,803,803,803,743,53,58,81,77,51,53,55,47,69,70,58,65,63,82,67,66,83,68,78,52,82,82,50,55,54,73,80,82,82,11,9,15,10,6,44.4
21.5,29,82,82,84,2050,3,4,4,27,6,2,172,753,753,753,803,803,803,803,803,823,823,823,793,803,803,803,793,693,703,703,703,693,663,613,613,613,663,77,73,61,86,78,87,83,69,83,86,69,69,79,78,63,78,49,62,64,76,65,69,78,87,75,80,45,59,51,14,9,6,10,12,36.6
21,30,82,82,140,1968,3,5,4,11,5,7,143,753,753,753,803,803,803,803,803,803,803,803,793,743,743,743,793,633,613,613,613,633,593,503,503,503,593,78,78,55,80,70,84,81,57,71,85,79,74,82,81,80,77,66,70,47,79,56,49,82,77,66,77,49,32,31,5,11,12,15,9,38.9
22,28,82,82,115,2207,3,3,4,5,5,11,165,773,773,773,803,803,803,803,803,813,813,813,803,813,813,813,803,783,773,773,773,783,763,723,723,723,763,82,70,70,84,78,83,78,78,80,85,75,77,77,82,77,84,69,84,66,86,68,72,78,82,68,82,74,72,68,10,14,7,15,14,37.4
21,30,82,82,1,2055,2,3,4,7,5,8,141,772,772,772,812,812,812,812,812,812,812,812,812,762,762,762,812,672,642,642,642,672,642,552,552,552,642,73,76,56,77,82,87,52,73,75,85,93,91,90,79,83,83,62,79,62,83,56,49,74,79,72,74,38,53,40,7,7,11,15,13,44.1
17,29,82,82,77,2006,2,3,2,15,6,5,165,722,722,722,682,722,722,722,682,722,722,722,702,772,772,772,702,742,812,812,812,742,752,812,812,812,752,59,64,79,79,55,72,73,42,77,81,44,55,36,81,31,79,75,86,92,66,87,84,70,77,57,85,81,80,76,7,16,16,16,13,28.9
21,30,82,82,1,2075,2,4,5,11,5,9,152,762,762,762,822,812,812,812,822,822,822,822,812,772,772,772,812,672,652,652,652,672,642,562,562,562,642,76,79,53,81,68,87,82,72,73,88,85,82,92,77,84,77,68,78,62,78,58,51,77,82,80,84,45,49,42,6,13,13,8,9,44.1
25,27,82,83,130,2110,3,3,3,10,6,0,168,753,753,753,773,783,783,783,773,793,793,793,783,803,803,803,783,753,753,753,753,753,723,693,693,693,723,75,74,58,84,79,81,70,66,80,82,64,69,73,81,74,81,66,89,67,74,73,69,84,79,75,81,66,70,67,6,11,5,10,8,49.4
18.5,27,82,82,99,2161,2,4,3,12,5,10,159,702,702,702,752,732,732,732,752,752,752,752,772,782,782,782,772,812,782,782,782,812,802,762,762,762,802,91,48,73,79,54,75,87,83,78,80,76,75,74,81,74,75,73,88,65,70,70,79,75,80,66,73,77,82,79,11,14,8,11,10,34.2
12.5,32,82,82,73,2230,2,3,3,11,6,2,183,742,742,742,752,752,752,752,752,752,752,752,772,782,782,782,772,802,792,792,792,802,802,802,802,802,802,91,55,80,77,64,79,85,86,77,76,73,70,63,84,58,91,80,84,77,83,85,81,75,77,74,88,81,82,81,16,15,8,16,6,21.3
22.5,28,82,82,125,2096,3,5,3,10,6,1,181,753,753,753,783,783,783,783,783,803,803,803,783,803,803,803,783,703,703,703,703,703,663,613,613,613,663,86,77,60,84,75,80,87,86,80,85,58,55,68,78,63,83,68,86,68,86,57,55,79,86,79,84,57,57,55,13,8,10,15,12,42.8
20,31,82,82,15,1957,2,4,4,21,5,4,134,752,752,752,822,812,812,812,822,822,822,822,812,752,752,752,812,592,562,562,562,592,542,412,412,412,542,72,80,34,80,75,86,90,93,76,86,88,80,94,80,91,80,34,77,42,81,75,26,82,81,73,82,23,29,28,6,3,6,3,3,30
22,29,82,82,120,2106,3,4,4,7,6,4,183,803,803,803,803,803,803,803,803,793,793,793,803,753,753,753,803,663,653,653,653,663,633,603,603,603,633,80,78,74,78,79,84,79,72,74,85,79,83,70,78,66,84,67,78,84,75,84,44,83,77,77,81,43,48,39,14,15,10,10,15,41.8
21,30,82,82,22,2010,3,2,4,9,5,8,146,733,733,733,803,793,793,793,803,803,803,803,803,753,753,753,803,643,603,603,603,643,603,513,513,513,603,80,71,54,81,81,84,88,72,75,83,84,79,87,82,81,72,81,69,46,73,57,40,77,82,71,80,35,42,43,8,11,9,7,5,45.2
18,28,82,82,125,2163,2,3,3,8,6,0,176,722,722,722,752,752,752,752,752,772,772,772,772,802,802,802,772,792,802,802,802,792,782,762,762,762,782,81,67,65,84,72,73,80,74,84,80,67,66,70,80,70,77,79,91,72,71,77,80,75,83,64,78,77,79,76,7,13,7,9,13,34.2
21.5,30,82,82,45,2063,2,4,4,10,5,11,168,792,792,792,802,812,812,812,802,822,822,822,802,782,782,782,802,642,642,642,642,642,602,562,562,562,602,81,83,63,84,80,82,80,69,80,85,69,67,74,85,76,81,65,71,72,79,63,41,85,83,90,86,57,38,34,12,7,5,13,9,36.6
9,33,82,82,59,2151,2,4,3,16,6,0,165,772,772,772,752,772,772,772,752,772,772,772,762,802,802,802,762,782,802,802,802,782,782,782,782,782,782,70,70,75,80,76,75,67,55,83,79,68,69,67,82,71,87,77,88,77,86,80,80,82,78,45,78,78,80,82,13,9,6,7,9,15.3
17,29,82,82,18,1945,2,3,2,5,6,0,176,632,632,632,622,642,642,642,622,652,652,652,652,722,722,722,652,742,792,792,792,742,742,792,792,792,742,50,49,73,78,53,68,43,57,74,72,52,55,57,78,58,73,73,90,78,62,91,85,50,63,56,75,82,84,77,14,12,13,11,14,34
12.5,32,82,82,57,1793,3,3,2,23,6,3,198,593,593,593,533,553,553,553,533,563,563,563,563,633,633,633,563,703,753,753,753,703,723,803,803,803,723,36,45,77,66,45,56,43,55,68,68,52,67,54,75,54,77,76,84,91,58,83,83,24,44,48,77,81,83,79,5,3,5,5,3,23.8
12.5,32,82,82,1,1909,3,3,3,14,6,4,185,613,613,613,613,613,613,613,613,623,623,623,643,683,683,683,643,743,763,763,763,743,753,793,793,793,753,68,44,83,70,38,65,69,60,72,73,49,65,57,77,46,64,81,80,86,50,81,77,45,60,49,78,79,83,82,15,9,12,14,6,26.3
23,27,82,82,130,2175,3,3,4,8,5,9,152,763,763,763,783,793,793,793,783,793,793,793,793,803,803,803,793,763,773,773,773,763,753,733,733,733,753,67,70,72,84,73,84,76,70,76,84,77,76,80,82,81,76,80,85,72,71,64,76,79,78,74,82,74,75,65,16,6,14,12,6,43.7
15,31,82,82,73,1633,3,2,2,20,6,5,187,563,563,563,503,533,533,533,503,523,523,523,543,613,613,613,543,693,763,763,763,693,713,813,813,813,713,44,41,89,64,35,48,46,37,62,72,36,43,29,84,32,63,41,74,91,26,84,85,32,47,26,86,85,85,78,8,9,12,11,14,25.5
20,31,82,82,140,1927,3,3,3,9,6,4,203,793,793,793,723,763,763,763,723,743,743,743,713,713,713,713,713,553,593,593,593,553,523,563,563,563,523,64,83,90,79,82,70,70,65,58,83,43,50,57,83,54,85,84,62,88,74,76,42,83,76,83,78,37,37,20,12,15,11,6,5,37
15,31,82,82,73,1827,3,3,2,15,6,2,170,583,583,583,563,573,573,573,563,583,583,583,593,643,643,643,593,733,763,763,763,733,753,813,813,813,753,49,43,83,76,34,54,39,37,67,67,67,69,58,78,56,65,91,78,77,42,82,82,30,48,45,72,85,84,80,8,16,7,14,16,25.5
19,31,82,82,35,2146,3,2,4,18,5,7,148,703,703,703,763,763,763,763,763,783,783,783,783,803,803,803,783,773,783,783,783,773,753,713,713,713,753,73,60,55,85,69,80,78,81,83,84,74,73,81,82,88,74,74,84,57,72,72,73,70,83,70,76,75,75,73,7,10,10,11,10,39.9
15,31,82,82,44,1896,3,3,2,24,6,2,198,633,633,633,593,603,603,603,593,613,613,613,603,683,683,683,603,693,763,763,763,693,703,793,793,793,703,62,58,80,69,49,60,55,74,72,73,34,36,54,76,34,80,76,62,88,64,77,83,42,63,69,78,82,83,81,14,6,13,13,14,31.5
12.5,32,82,82,17,1687,2,2,2,33,6,4,192,552,552,552,512,532,532,532,512,532,532,532,542,592,592,592,542,692,732,732,732,692,712,812,812,812,712,46,38,85,68,27,52,30,35,53,60,50,63,35,77,34,58,77,68,89,37,83,82,30,49,57,71,85,84,78,7,16,11,16,7,25
12.5,32,82,82,115,1807,3,3,2,6,6,1,165,573,573,573,583,583,583,583,583,603,603,603,603,653,653,653,603,713,753,753,753,713,743,803,803,803,743,52,32,80,76,35,62,22,49,69,66,64,66,65,76,61,54,78,62,75,47,86,84,41,56,51,75,80,84,83,13,11,9,11,7,23.8
12.5,32,82,82,98,2104,3,4,3,21,5,10,139,663,663,663,723,713,713,713,723,753,753,753,743,783,783,783,743,773,803,803,803,773,763,753,753,753,763,74,50,54,86,78,80,71,76,82,84,65,65,76,80,78,77,62,75,65,75,83,82,50,80,72,80,80,78,74,14,12,7,12,7,21.3
4.8,35,82,82,62,2197,4,3,4,13,5,8,150,743,743,743,793,783,783,783,793,793,793,793,793,793,793,793,793,793,783,783,783,793,793,753,753,753,793,85,61,72,81,68,84,80,74,79,86,77,79,84,77,87,86,80,74,55,78,78,79,74,78,70,80,72,79,82,5,11,9,6,7,8.9
8,36,82,82,12,1993,3,5,4,7,5,9,152,793,793,793,793,803,803,803,793,793,793,793,773,723,723,723,773,583,563,563,563,583,553,493,493,493,553,71,86,67,76,79,83,83,80,67,85,72,67,71,83,73,81,67,70,66,79,67,29,86,75,88,83,30,28,38,8,9,9,11,9,12
8,37,82,82,29,1973,3,3,3,20,6,0,172,813,813,813,743,783,783,783,743,753,753,753,723,693,693,693,723,583,593,593,593,583,573,613,613,613,573,54,83,92,72,80,76,61,54,52,82,64,66,50,85,55,82,90,60,82,78,82,23,87,73,82,87,58,44,49,14,10,9,15,9,16.8
27,20,81,89,110,2062,2,4,4,11,6,1,154,792,792,792,802,802,802,802,802,782,782,782,792,722,722,722,792,632,592,592,592,632,602,532,532,532,602,75,78,71,75,72,83,77,78,65,80,90,93,88,79,77,87,68,79,71,77,70,42,81,74,74,73,32,40,33,11,6,15,7,14,55.4
17,30,81,81,40,1853,1,5,4,8,5,7,139,722,722,722,792,782,782,782,792,802,802,802,792,732,732,732,792,572,532,532,532,572,512,382,382,382,512,73,72,44,79,67,82,56,75,80,82,86,78,89,80,88,67,44,67,48,75,41,31,82,80,74,77,29,13,23,9,7,8,14,10,32.3
26.5,20,81,89,54,2011,1,4,4,9,5,10,174,762,762,762,812,802,802,802,812,792,792,792,802,712,712,712,802,592,542,542,542,592,552,462,462,462,552,77,75,57,75,75,86,77,73,66,82,94,90,86,80,84,79,86,76,59,77,58,21,80,77,71,75,45,27,18,12,13,6,15,14,50.4
21,22,81,87,49,1868,2,3,2,5,6,2,187,602,602,602,632,622,622,622,632,652,652,652,662,702,702,702,662,752,782,782,782,752,762,802,802,802,762,51,36,75,78,40,67,42,27,76,75,72,86,69,81,66,58,78,76,84,45,75,79,33,66,40,76,82,84,80,10,9,13,6,9,39.9
26,21,81,89,19,2064,1,3,4,7,5,11,154,692,692,692,762,752,752,752,762,792,792,792,782,802,802,802,782,772,782,782,782,772,752,722,722,722,752,75,52,64,87,64,86,74,61,82,88,74,76,84,83,78,68,76,74,69,55,62,78,63,85,45,86,69,73,70,7,13,10,10,9,41.6
20,24,81,86,125,2039,2,3,4,2,5,10,148,692,692,692,742,732,732,732,742,722,722,722,762,732,732,732,762,802,752,752,752,802,792,742,742,742,792,74,50,58,73,42,80,61,30,65,78,91,92,88,82,83,74,80,91,62,60,77,80,72,62,38,75,75,78,79,16,12,10,14,12,42.5
24,22,81,86,36,2071,1,3,4,8,5,10,148,732,732,732,782,782,782,782,782,802,802,802,782,802,802,802,782,752,762,762,762,752,732,702,702,702,732,74,77,50,84,70,81,63,60,80,81,71,66,79,76,76,75,59,77,67,80,69,74,77,86,46,71,72,74,73,9,11,12,7,15,52.2
26,22,81,89,64,2094,1,4,4,8,6,2,154,762,762,762,782,782,782,782,782,792,792,792,772,802,802,802,772,752,762,762,762,752,742,722,722,722,742,72,79,67,80,65,81,74,59,80,83,69,67,73,79,66,75,46,73,69,82,66,77,80,82,67,77,70,78,75,16,11,7,13,13,49.4
21,24,81,87,105,1853,2,3,2,2,6,1,170,582,582,582,582,582,582,582,582,592,592,592,602,632,632,632,602,722,732,732,732,722,742,802,802,802,742,51,33,79,70,42,60,46,43,56,65,68,79,65,74,62,55,85,72,85,48,87,81,47,54,46,70,80,82,83,14,14,10,9,8,43.1
