Age,Overall,Potential,Value,Wage,Special,International Reputation,Weak Foot,Skill Moves,Jersey Number,Feet,Inches,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
27,77,78,11,49,1992,2,4,4,7,6,0,179,762,762,762,742,752,752,752,742,742,742,742,742,702,702,702,742,622,602,602,602,622,602,572,572,572,602,65,80,77,70,72,75,75,58,65,74,78,75,79,78,72,74,78,84,76,68,80,49,80,72,70,76,25,45,44,8,10,15,6,15,19
22,77,86,14,53,1868,2,2,4,10,6,1,161,752,752,752,752,762,762,762,752,752,752,752,732,672,672,672,732,542,532,532,532,542,512,482,482,482,512,64,77,74,74,67,82,78,56,59,80,74,73,83,74,67,72,69,62,70,73,59,22,78,73,58,77,50,24,19,11,15,8,9,14,27
28,77,77,7,17,2049,2,4,4,11,5,10,154,732,732,732,772,762,762,762,772,752,752,752,772,732,732,732,772,762,732,732,732,762,752,722,722,722,752,75,67,58,78,48,81,69,46,64,82,89,93,77,80,77,84,82,70,68,59,80,73,66,70,51,71,73,69,73,8,7,8,12,12,15
24,77,82,12,27,1974,1,4,3,18,5,10,163,702,702,702,752,742,742,742,752,742,742,742,762,722,722,722,762,712,672,672,672,712,672,602,602,602,672,76,72,44,75,65,80,69,61,62,79,78,77,78,76,77,68,62,95,62,72,60,59,74,65,64,73,61,60,50,13,6,13,11,10,21
27,77,80,9,58,1660,1,4,2,15,6,5,214,542,542,542,522,522,522,522,522,542,542,542,552,582,582,582,552,662,702,702,702,662,682,762,762,762,682,50,32,75,70,23,48,43,35,58,60,57,69,55,71,45,52,62,58,93,21,79,76,43,52,56,76,72,78,78,7,8,15,10,9,18
25,77,79,9,76,2029,2,3,3,18,5,7,143,702,702,702,742,722,722,722,742,712,712,712,742,702,702,702,742,762,722,722,722,762,752,712,712,712,752,78,59,61,74,35,76,59,40,64,79,85,87,84,72,87,80,86,81,61,74,83,72,69,58,54,63,68,73,76,10,14,9,10,11,18
32,77,77,7,39,1910,1,3,5,10,5,8,161,672,672,672,722,722,722,722,722,752,752,752,722,732,732,732,722,612,622,622,622,612,582,502,502,502,582,65,64,41,80,81,79,75,80,77,77,63,62,89,75,81,79,35,73,44,78,40,42,68,79,73,74,66,44,36,16,11,15,15,7,12
24,77,82,10,43,2067,2,4,4,23,5,10,157,712,712,712,782,762,762,762,782,772,772,772,782,762,762,762,782,772,752,752,752,772,762,722,722,722,762,78,63,65,79,59,85,69,52,68,83,85,77,85,78,78,58,67,79,64,61,69,75,74,79,58,80,71,74,74,13,15,10,13,9,18
25,77,82,10,21,1998,1,3,3,5,6,0,165,662,662,662,672,672,672,672,672,682,682,682,692,712,712,712,692,732,752,752,752,732,732,742,742,742,732,62,56,58,74,59,67,63,52,73,72,71,72,66,72,70,79,76,84,73,58,85,78,61,71,64,74,73,80,77,10,12,7,12,11,22
21,76,82,9,50,1782,1,3,3,2,6,0,165,582,582,582,612,592,592,592,612,612,612,612,632,652,652,652,632,712,722,722,722,712,722,742,742,742,722,61,37,73,74,40,65,40,35,70,67,68,71,62,73,57,51,69,70,72,42,75,77,50,55,40,68,75,78,77,13,12,9,8,16,19
31,76,76,7,26,1964,1,5,4,17,6,1,174,712,712,712,732,742,742,742,732,752,752,752,732,752,752,752,732,712,732,732,732,712,702,702,702,702,702,69,74,65,78,55,78,69,59,73,77,63,59,71,81,55,65,44,61,72,75,72,78,72,77,61,71,65,73,67,10,14,11,14,7,14
25,76,79,10,27,1834,1,3,3,7,5,8,152,752,752,752,762,772,772,772,762,752,752,752,742,672,672,672,742,552,512,512,512,552,522,442,442,442,522,64,78,74,75,73,78,60,57,53,79,77,77,78,81,78,70,75,70,46,72,57,23,82,69,63,69,25,28,25,11,6,9,12,9,21
28,76,76,6,32,1984,2,2,3,3,5,10,154,662,662,662,702,682,682,682,702,692,692,692,712,702,702,702,712,752,732,732,732,752,752,732,732,732,752,72,48,68,73,47,71,66,52,65,75,78,80,76,77,74,67,71,80,67,59,72,75,68,65,63,73,73,77,76,6,11,8,9,15,11
29,76,76,6,42,1576,2,2,2,18,6,3,183,472,472,472,452,472,472,472,452,502,502,502,492,572,572,572,492,622,702,702,702,622,652,752,752,752,652,23,26,77,68,21,39,49,40,58,65,47,50,48,71,48,27,76,65,78,29,79,76,36,44,42,71,76,78,77,12,12,13,14,12,11
25,76,81,10,22,1792,1,3,3,6,6,1,170,672,672,672,672,702,702,702,672,722,722,722,672,752,752,752,672,662,742,742,742,662,662,702,702,702,662,44,72,51,77,32,70,37,36,78,73,52,38,57,74,46,63,62,64,73,71,74,77,79,80,42,68,60,80,78,11,13,12,9,7,22
28,76,76,8,23,1834,1,3,3,9,5,11,168,752,752,752,692,712,712,712,692,682,682,682,672,642,642,642,672,542,542,542,542,542,522,502,502,502,522,55,80,80,68,77,65,55,54,60,78,64,61,76,78,57,76,84,74,68,72,49,43,83,45,74,79,33,30,27,13,10,15,15,15,12
24,76,81,9,18,1926,1,3,3,17,5,9,148,602,602,602,642,612,612,612,642,622,622,622,672,652,652,652,672,742,712,712,712,742,742,722,722,722,742,78,35,70,72,43,64,69,58,61,77,79,77,77,67,79,61,75,86,76,46,75,74,55,48,55,67,65,74,78,10,9,16,8,9,19
26,76,77,9,19,1932,1,4,3,7,5,9,146,752,752,752,762,762,762,762,762,752,752,752,752,682,682,682,752,582,542,542,542,582,552,482,482,482,552,68,78,69,74,72,76,67,69,65,75,88,86,79,78,83,76,89,71,54,67,65,23,78,70,53,65,34,37,31,10,15,13,12,7,21
27,76,76,8,34,1890,1,4,4,18,6,0,165,712,712,712,742,732,732,732,742,722,722,722,742,662,662,662,742,602,562,562,562,602,572,522,522,522,572,80,68,54,67,57,79,78,48,65,74,86,86,78,66,71,77,54,68,78,72,54,32,71,72,61,67,49,45,34,14,16,16,10,10,15
31,76,76,7,16,1914,2,4,3,26,6,2,176,682,682,682,672,692,692,692,672,702,702,702,692,752,752,752,692,692,732,732,732,692,682,702,702,702,682,64,62,68,79,43,72,66,70,78,79,42,58,54,76,48,80,58,72,80,69,73,78,59,75,59,74,47,75,69,9,13,16,12,11,14
29,76,76,8,32,1767,2,4,3,2,6,0,194,752,752,752,662,712,712,712,662,682,682,682,632,622,622,622,632,472,522,522,522,472,462,542,542,542,462,45,77,81,68,76,70,66,58,45,76,51,50,42,73,66,83,74,33,91,72,75,38,80,65,77,77,24,42,28,10,8,5,7,11,14
30,76,76,8,31,1898,3,4,3,22,5,10,157,743,743,743,713,743,743,743,713,723,723,723,703,653,653,653,703,533,533,533,533,533,523,513,513,513,523,46,73,76,70,75,74,67,69,63,73,87,89,70,71,70,75,82,51,73,68,60,29,74,70,80,78,32,39,34,12,15,13,6,12,16
25,76,80,9,48,1774,3,3,2,5,6,2,163,593,593,593,613,613,613,613,613,633,633,633,633,663,663,663,633,703,733,733,733,703,723,753,753,753,723,49,45,78,77,37,67,45,36,68,74,63,65,68,73,55,49,70,68,69,47,64,79,44,52,50,67,78,76,79,8,14,12,7,8,17
25,76,77,8,54,2033,2,3,4,14,5,7,148,682,682,682,762,742,742,742,762,752,752,752,762,742,742,742,762,762,732,732,732,762,752,692,692,692,752,79,57,53,79,59,84,76,51,64,83,79,78,86,77,88,62,73,77,55,62,68,73,73,70,53,69,69,75,74,8,9,12,11,16,14
33,76,76,3,24,2042,2,3,3,11,6,1,172,672,672,672,682,682,682,682,682,692,692,692,692,712,712,712,692,722,742,742,742,722,722,742,742,742,722,68,54,66,74,69,70,70,68,72,74,67,67,70,72,69,76,70,73,74,70,90,74,66,70,67,76,72,78,76,12,11,7,15,11,6
30,76,76,6,24,1488,2,3,2,15,6,3,187,462,462,462,422,432,432,432,422,452,452,452,452,512,512,512,452,602,662,662,662,602,642,742,742,742,642,32,22,82,64,22,35,23,22,57,47,51,55,51,74,46,48,65,53,83,24,73,68,25,40,38,67,77,81,78,8,6,14,15,9,9
33,76,76,5,30,2048,2,4,4,8,5,10,157,702,702,702,752,742,742,742,752,762,762,762,752,752,752,752,752,702,692,692,692,702,672,632,632,632,672,78,60,50,78,77,82,86,85,76,82,67,72,74,75,76,79,47,70,65,74,69,60,74,78,75,78,65,60,60,11,15,13,6,9,9
24,76,79,8,20,1719,1,3,3,19,6,2,185,582,582,582,572,602,602,602,572,612,612,612,602,682,682,682,602,682,742,742,742,682,682,722,722,722,682,48,38,51,72,42,60,49,49,73,75,56,42,38,71,38,77,30,75,89,77,73,77,46,56,39,61,77,79,74,8,15,9,9,7,16
25,76,79,10,59,1798,2,4,4,22,5,10,159,702,702,702,762,742,742,742,762,752,752,752,752,682,682,682,752,532,502,502,502,532,482,382,382,382,482,72,71,42,76,55,81,78,66,69,80,85,79,85,67,74,73,71,61,60,72,29,33,75,70,68,74,17,23,12,13,7,6,13,15,18
24,76,81,11,16,2035,1,3,4,7,5,5,132,752,752,752,762,752,752,752,762,742,742,742,752,692,692,692,752,662,622,622,622,662,652,592,592,592,652,62,78,55,69,67,80,66,50,61,74,92,94,93,76,91,79,90,90,71,64,66,45,76,65,63,67,42,62,52,14,9,10,16,13,23
26,76,79,8,36,1600,2,4,2,31,6,3,170,532,532,532,472,492,492,492,472,502,502,502,492,582,582,582,492,622,692,692,692,622,652,742,742,742,652,30,38,79,66,28,42,33,39,69,57,50,46,52,74,49,58,67,61,78,35,68,79,37,39,37,71,76,79,75,14,10,16,10,9,14
23,76,83,10,41,1759,1,3,2,5,6,0,176,572,572,572,602,582,582,582,602,602,602,602,622,632,632,632,622,702,712,712,712,702,712,742,742,742,712,58,42,73,72,35,67,35,29,66,69,69,71,66,73,62,51,76,69,79,36,71,76,36,51,39,76,74,77,75,7,10,15,15,15,20
27,76,77,8,40,1977,2,3,3,18,5,10,165,672,672,672,682,692,692,692,682,702,702,702,692,712,712,712,692,722,752,752,752,722,732,752,752,752,732,66,55,66,75,55,71,51,52,71,72,69,64,70,74,74,75,76,68,74,65,83,79,69,71,51,74,78,77,77,9,8,14,7,11,13
20,76,86,13,10,2058,1,3,3,37,5,11,146,722,722,722,742,742,742,742,742,752,752,752,742,752,752,752,742,732,732,732,732,732,722,702,702,702,722,66,64,57,77,68,79,70,64,73,78,76,80,78,75,69,85,62,77,68,83,68,74,69,74,66,80,72,75,66,14,5,13,6,7,28
23,76,83,10,24,1981,1,5,3,8,5,10,163,642,642,642,722,702,702,702,722,742,742,742,742,752,752,752,742,742,742,742,742,742,732,682,682,682,732,72,48,54,80,68,80,74,62,78,80,73,73,82,74,79,58,54,78,54,58,65,75,64,78,58,76,75,73,67,10,7,6,10,14,18
20,76,85,11,8,1920,1,4,3,16,6,2,181,672,672,672,652,682,682,682,652,682,682,682,672,722,722,722,672,712,752,752,752,712,712,742,742,742,712,49,48,72,74,55,69,55,44,75,73,68,69,54,75,50,79,62,89,85,70,81,74,64,67,47,69,73,78,66,14,14,7,11,9,23
28,76,76,8,55,1946,1,4,3,10,6,1,185,752,752,752,712,732,732,732,712,722,722,722,712,692,692,692,712,592,612,612,612,592,572,582,582,582,572,66,77,78,70,72,74,60,56,63,77,64,60,68,76,71,81,82,77,78,67,87,41,79,70,77,78,43,46,39,6,10,11,10,10,15
29,76,76,8,13,1830,1,3,3,27,6,1,176,752,752,752,712,722,722,722,712,692,692,692,702,642,642,642,702,542,512,512,512,542,522,482,482,482,522,68,76,82,65,67,70,56,61,57,73,73,70,68,75,62,78,77,78,77,72,53,33,78,59,69,67,26,29,24,7,16,12,10,9,16
28,76,76,6,13,1594,1,2,2,2,6,0,163,462,462,462,462,452,452,452,462,482,482,482,502,552,552,552,502,652,692,692,692,652,682,752,752,752,682,37,24,77,63,28,44,27,27,64,55,66,64,64,71,68,35,90,66,71,22,73,79,20,43,35,70,82,79,74,6,16,6,10,8,12
22,76,82,11,22,1908,1,4,3,21,5,9,137,752,752,752,732,732,732,732,732,712,712,712,712,632,632,632,712,582,542,542,542,582,562,522,522,522,562,57,75,71,69,73,78,55,41,46,76,89,88,89,72,79,78,92,79,72,64,64,37,73,56,64,65,36,35,33,15,13,13,14,12,24
24,76,80,9,41,1971,1,3,3,29,5,11,154,682,682,682,732,712,712,712,732,712,712,712,742,702,702,702,742,752,712,712,712,752,742,702,702,702,742,76,52,60,72,52,78,68,47,68,75,91,91,83,68,67,72,59,80,67,60,74,68,72,66,42,69,72,74,74,7,11,7,9,9,15
22,76,83,11,61,1866,1,3,4,77,5,7,152,632,632,632,752,732,732,732,752,762,762,762,752,722,722,722,752,632,602,602,602,632,582,462,462,462,582,76,58,24,80,64,79,80,69,70,81,78,74,78,74,88,64,54,68,32,72,40,54,70,80,75,72,60,36,28,15,11,11,13,10,21
30,76,76,8,1,1973,2,4,4,10,6,0,170,742,742,742,752,752,752,752,752,752,752,752,752,722,722,722,752,632,632,632,632,632,612,572,572,572,612,71,74,66,76,71,74,67,76,72,79,80,73,75,74,60,79,62,73,68,72,73,49,76,75,71,72,42,50,44,14,7,7,15,8,16
28,76,76,8,51,1967,2,3,3,8,5,9,148,682,682,682,722,722,722,722,722,732,732,732,732,742,742,742,732,692,692,692,692,692,662,622,622,622,662,74,64,48,77,68,74,59,62,76,74,63,69,69,77,75,74,61,77,53,75,71,65,74,77,72,67,56,71,52,15,11,9,12,13,14
24,76,80,10,1,1808,1,5,3,10,6,0,192,752,752,752,712,752,752,752,712,722,722,722,702,642,642,642,702,512,522,522,522,512,482,492,492,492,482,46,76,73,74,67,77,59,46,39,79,72,76,62,75,61,80,78,68,77,62,88,25,74,72,62,72,39,22,16,15,9,12,15,12,23
27,76,77,9,54,2058,1,4,3,8,6,0,157,722,722,722,732,732,732,732,732,732,732,732,742,742,742,742,742,732,732,732,732,732,722,702,702,702,722,68,73,67,77,50,73,63,63,76,77,76,74,70,70,72,75,75,92,75,71,72,70,71,71,68,74,64,70,69,16,13,16,7,14,15
29,76,76,6,25,1940,2,3,3,44,5,9,157,632,632,632,642,652,652,652,642,672,672,672,652,712,712,712,652,712,752,752,752,712,712,742,742,742,712,60,47,59,74,60,65,57,59,74,73,61,54,74,76,76,77,61,70,68,66,86,77,62,68,49,75,81,78,74,9,12,7,10,16,10
21,76,81,9,15,1927,1,3,3,20,6,0,165,692,692,692,702,692,692,692,702,692,692,692,712,702,702,702,712,752,722,722,722,752,752,722,722,722,752,77,61,74,72,55,67,65,43,70,77,81,80,63,71,62,62,64,77,74,61,55,74,71,59,38,65,70,77,78,7,7,7,14,14,19
29,76,76,6,50,1980,2,3,3,33,5,11,165,652,652,652,662,652,652,652,662,652,652,652,672,672,672,672,672,742,722,722,722,742,742,752,752,752,742,71,48,71,69,54,69,63,62,64,72,72,72,74,76,70,66,78,76,68,58,77,75,65,54,60,72,78,79,77,9,10,15,13,15,10
31,76,76,5,19,2048,2,3,3,21,5,5,139,672,672,672,692,692,692,692,692,712,712,712,712,752,752,752,712,732,752,752,752,732,712,712,712,712,712,74,55,63,84,66,70,83,82,76,75,63,51,75,74,94,84,74,84,67,77,80,75,64,72,66,73,70,72,68,2,2,2,2,2,8
28,76,76,8,55,1864,1,3,2,9,6,2,198,742,742,742,672,712,712,712,672,692,692,692,672,672,672,672,672,552,582,582,582,552,532,572,572,572,532,59,77,84,68,70,65,61,46,60,76,50,55,50,76,60,80,89,73,84,71,80,42,78,70,79,75,42,38,29,13,14,9,9,7,15
29,76,76,8,23,1845,1,3,4,20,5,9,146,712,712,712,752,742,742,742,752,732,732,732,742,662,662,662,742,562,502,502,502,562,522,412,412,412,522,76,71,59,67,65,78,73,71,58,76,86,84,83,74,77,75,63,74,53,67,46,31,72,74,71,74,23,25,21,7,14,11,6,14,12
23,76,84,10,21,1896,1,4,2,22,6,0,163,602,602,602,632,612,612,612,632,612,612,612,662,642,642,642,662,742,712,712,712,742,752,752,752,752,752,71,29,72,67,37,61,65,55,63,72,78,88,78,70,71,61,86,77,77,32,76,76,64,52,45,68,72,79,78,13,8,10,5,8,23
31,76,76,7,27,1883,2,3,4,22,5,9,152,702,702,702,752,742,742,742,752,742,742,742,742,702,702,702,742,612,592,592,592,612,572,502,502,502,572,71,74,43,71,65,80,76,56,68,80,79,76,78,77,84,70,70,65,50,68,55,53,75,71,60,78,52,37,28,9,8,14,12,8,12
26,76,77,8,47,2009,2,3,3,2,5,10,170,692,692,692,732,712,712,712,732,712,712,712,742,712,712,712,742,752,732,732,732,752,742,722,722,722,742,78,66,63,76,56,78,58,47,69,75,80,87,76,70,70,66,72,77,76,56,77,71,66,66,55,67,72,74,75,12,13,12,9,11,13
22,76,82,11,15,2025,1,4,4,5,5,9,154,702,702,702,722,722,722,722,722,732,732,732,732,742,742,742,732,692,702,702,702,692,672,642,642,642,672,76,66,55,77,73,75,78,76,81,74,66,68,73,67,70,80,65,79,65,78,66,70,75,76,68,71,65,59,57,11,14,6,8,8,18
24,76,81,11,42,1911,1,4,4,17,5,10,159,732,732,732,742,752,752,752,742,742,742,742,722,682,682,682,722,572,562,562,562,572,552,512,512,512,552,48,78,66,71,77,82,79,60,51,78,77,75,83,76,78,66,71,77,53,64,70,35,80,71,73,73,45,42,28,12,12,11,14,8,21
31,76,76,7,1,1698,1,4,3,10,5,9,154,742,742,742,702,742,742,742,702,702,702,702,672,622,622,622,672,502,472,472,472,502,472,422,422,422,472,36,80,68,72,65,73,53,35,33,74,74,76,68,79,73,69,68,71,67,75,46,41,80,58,70,69,22,13,13,11,12,8,5,10,15
25,76,79,10,40,2045,2,4,4,7,5,9,154,702,702,702,742,732,732,732,742,742,742,742,742,722,722,722,742,682,682,682,682,682,662,632,632,632,662,63,66,42,73,68,77,72,66,71,78,83,79,84,73,69,76,79,86,74,73,81,56,72,76,69,78,66,56,54,6,14,15,15,13,17
26,76,77,9,26,1977,2,3,3,8,5,11,170,682,682,682,722,722,722,722,722,732,732,732,732,742,742,742,732,732,732,732,732,732,712,672,672,672,712,70,64,41,78,68,73,60,70,74,76,69,69,71,76,61,70,58,78,66,70,60,72,76,74,61,76,76,72,68,12,8,9,14,13,16
29,76,76,8,12,1836,1,2,3,8,6,2,172,662,662,662,652,672,672,672,652,702,702,702,662,742,742,742,662,662,732,732,732,662,662,702,702,702,662,57,66,74,82,48,67,61,65,77,77,35,35,62,70,35,63,58,70,73,60,65,75,70,79,46,70,67,72,68,15,13,9,6,16,12
27,76,78,8,45,1547,1,2,2,31,6,2,176,482,482,482,422,432,432,432,422,412,412,412,442,452,452,452,442,612,622,622,622,612,662,742,742,742,662,32,26,82,41,33,39,33,34,37,49,66,69,43,73,47,49,79,60,78,22,80,76,27,33,49,70,75,78,80,14,7,14,9,13,13
30,76,76,8,15,1939,1,4,4,23,5,9,150,742,742,742,722,742,742,742,722,722,722,722,712,662,662,662,712,572,552,552,552,572,552,522,522,522,552,56,78,66,68,71,74,74,72,49,76,78,74,78,76,81,74,74,76,80,63,65,36,80,70,74,80,29,40,37,16,16,15,15,8,9
30,76,76,8,66,1977,2,3,4,11,6,0,181,702,702,702,742,742,742,742,742,742,742,742,742,732,732,732,742,632,642,642,642,632,592,562,562,562,592,82,71,44,74,65,76,82,82,72,80,61,65,72,73,67,81,57,73,70,76,82,46,76,79,73,77,42,56,41,8,15,14,12,10,14
25,76,81,9,1,1714,1,3,2,18,6,4,194,582,582,582,512,532,532,532,512,522,522,522,532,582,582,582,532,662,702,702,702,662,692,742,742,742,692,41,46,74,66,59,38,39,46,61,61,61,69,48,71,38,73,56,79,88,57,70,76,38,34,34,68,78,77,73,15,14,10,13,11,19
27,76,76,7,47,1977,2,3,3,18,6,2,170,652,652,652,692,682,682,682,692,692,692,692,702,712,712,712,702,742,742,742,742,742,742,732,732,732,742,76,46,65,76,57,75,74,43,69,75,67,74,66,73,57,74,74,74,72,68,72,76,63,64,57,74,75,77,76,15,10,15,14,8,11
32,76,76,4,24,2029,2,3,3,17,5,11,181,692,692,692,722,722,722,722,722,722,722,722,732,742,742,742,732,752,742,742,742,752,742,712,712,712,742,78,56,63,77,50,73,77,60,73,77,75,76,72,78,69,76,68,73,67,65,69,74,72,72,65,74,69,77,73,9,12,10,13,11,7
33,76,76,5,4,1868,1,4,3,10,5,7,150,682,682,682,722,722,722,722,722,752,752,752,722,742,742,742,722,582,632,632,632,582,542,522,522,522,542,76,63,53,81,46,73,75,63,80,80,55,53,85,72,76,79,55,66,65,77,62,52,73,83,64,72,40,52,12,16,14,12,8,7,7
31,76,76,7,66,2009,2,3,3,16,5,10,168,662,662,662,672,682,682,682,672,702,702,702,692,742,742,742,692,712,752,752,752,712,702,712,712,712,702,71,60,62,77,68,74,71,67,79,76,42,45,62,73,72,74,57,78,70,68,85,73,64,78,88,77,71,74,76,7,6,14,16,11,12
22,76,83,11,25,1866,1,4,3,11,5,10,161,702,702,702,752,732,732,732,752,732,732,732,752,662,662,662,752,602,552,552,552,602,562,472,472,472,562,76,69,50,68,68,80,71,61,64,77,93,86,90,70,77,79,41,75,57,72,67,26,68,70,45,72,53,29,36,7,14,7,14,6,21
27,76,76,8,53,1762,3,3,2,17,6,3,183,733,733,733,673,693,693,693,673,673,673,673,653,613,613,613,653,493,493,493,493,493,473,483,483,483,473,58,75,87,64,67,65,60,64,48,74,59,68,66,67,46,78,82,66,87,69,56,29,73,68,71,70,28,25,18,14,5,12,8,5,15
31,76,76,7,17,2070,1,2,4,8,5,10,159,692,692,692,732,722,722,722,732,732,732,732,742,742,742,742,742,752,742,742,742,752,742,702,702,702,742,77,60,56,76,57,77,77,76,74,77,74,74,77,72,76,75,67,88,68,69,70,74,74,72,77,80,67,74,72,5,7,14,5,12,11
30,76,76,8,46,2040,2,4,3,8,5,6,161,742,742,742,752,752,752,752,752,742,742,742,752,702,702,702,752,612,592,592,592,612,582,522,522,522,582,69,72,51,69,77,78,76,76,70,73,86,84,81,76,83,86,77,87,81,77,74,44,79,74,73,72,30,40,33,15,11,15,14,9,13
26,76,77,9,20,1907,1,3,3,11,5,8,146,692,692,692,742,742,742,742,742,752,752,752,752,732,732,732,752,642,632,632,632,642,622,542,542,542,622,71,72,45,78,53,76,62,65,76,72,76,79,79,76,78,69,61,77,61,68,56,49,75,79,62,61,41,52,49,13,6,6,14,11,21
31,76,76,5,21,1789,1,3,2,29,6,1,163,582,582,582,582,582,582,582,582,592,592,592,602,642,642,642,602,692,722,722,722,692,702,752,752,752,702,50,49,70,71,32,60,50,44,66,70,59,66,60,69,62,54,71,73,77,55,75,78,39,49,54,72,77,78,77,7,7,16,13,11,10
27,76,77,9,28,1791,2,2,3,91,6,2,190,742,742,742,682,712,712,712,682,682,682,682,682,622,622,622,682,522,512,512,512,522,502,492,492,492,502,57,77,82,69,75,65,50,49,45,70,66,74,61,72,58,77,69,82,81,68,77,24,80,65,65,74,37,22,20,15,11,7,7,14,17
30,76,76,6,25,1920,1,3,3,2,5,9,157,602,602,602,682,642,642,642,682,672,672,672,702,692,692,692,702,752,732,732,732,752,742,722,722,722,742,72,51,66,77,39,77,51,52,74,71,74,77,81,75,72,34,65,80,61,51,81,71,55,56,66,73,77,76,77,15,8,15,10,13,11
34,76,76,2,25,1889,1,2,2,6,5,9,168,582,582,582,582,582,582,582,582,612,612,612,612,672,672,672,612,702,752,752,752,702,712,742,742,742,712,48,45,60,77,53,50,47,44,76,70,58,70,77,79,76,65,81,88,80,62,83,70,36,52,62,80,81,77,68,7,12,10,16,9,4
22,76,85,12,20,2015,1,3,4,15,5,8,159,702,702,702,722,732,732,732,722,732,732,732,732,742,742,742,732,752,772,772,772,752,742,742,742,742,742,57,66,48,76,31,74,46,52,69,76,78,78,81,80,79,74,77,91,82,65,83,78,73,70,55,79,77,76,73,8,8,14,5,15,18
27,76,76,8,32,1986,1,3,3,7,5,10,161,672,672,672,732,722,722,722,732,742,742,742,742,742,742,742,742,722,712,712,712,722,702,652,652,652,702,74,64,45,79,63,78,73,60,74,79,70,67,77,74,80,75,66,79,59,67,63,64,68,76,63,70,67,72,69,5,12,7,8,9,14
26,76,80,9,18,1704,2,3,2,16,6,1,183,562,562,562,532,552,552,552,532,562,562,562,542,602,602,602,542,652,692,692,692,652,672,742,742,742,672,31,34,74,68,28,50,40,36,52,65,61,69,59,70,57,75,78,66,79,65,82,71,30,59,28,69,76,76,79,9,6,7,16,8,19
24,76,79,10,44,1878,1,4,4,34,5,7,165,692,692,692,762,742,742,742,762,752,752,752,762,702,702,702,762,622,582,582,582,622,582,482,482,482,582,77,60,40,77,72,83,78,69,67,82,82,83,79,72,77,74,44,76,65,70,42,34,74,68,69,74,48,38,36,11,10,6,10,5,18
27,76,76,8,1,1996,1,4,3,7,6,1,181,732,732,732,742,742,742,742,742,752,752,752,742,742,742,742,742,672,672,672,672,672,652,632,632,632,652,73,63,71,78,70,77,77,72,75,80,73,75,72,71,54,81,70,70,77,77,56,61,74,77,70,72,50,59,53,5,14,6,6,9,17
25,76,79,10,46,1885,1,4,4,23,6,2,194,732,732,732,742,752,752,752,742,752,752,752,722,702,702,702,722,582,592,592,592,582,562,532,532,532,562,61,70,60,76,68,82,76,57,70,82,74,66,74,64,75,82,52,55,77,80,48,38,75,73,56,83,46,48,41,12,11,13,12,11,18
26,76,77,9,43,1944,2,4,3,55,5,9,154,702,702,702,752,732,732,732,752,742,742,742,752,692,692,692,752,612,602,602,602,612,582,532,532,532,582,79,66,59,74,59,81,75,68,76,80,82,84,82,65,80,74,58,66,75,70,78,43,67,71,66,70,45,38,32,11,10,7,12,11,18
27,76,76,8,33,1779,2,3,4,22,5,10,159,742,742,742,712,732,732,732,712,692,692,692,682,602,602,602,682,492,462,462,462,492,472,442,442,442,472,56,78,76,68,70,74,68,51,42,76,73,73,73,72,76,74,79,58,68,60,60,20,82,58,69,76,28,22,20,6,14,15,9,11,14
27,76,76,8,19,2017,1,2,4,27,5,9,165,712,712,712,742,742,742,742,742,742,742,742,732,722,722,722,732,652,652,652,652,652,632,592,592,592,632,73,71,57,75,67,78,78,73,74,77,66,70,77,73,80,82,52,71,61,77,80,54,73,76,75,71,49,53,59,15,10,15,16,10,16
29,76,76,8,46,2010,2,4,4,4,6,2,165,712,712,712,722,732,732,732,722,742,742,742,732,752,752,752,732,682,702,702,702,682,672,672,672,672,672,73,69,71,84,55,74,76,77,79,80,60,61,67,66,59,82,68,69,70,71,68,54,72,79,76,81,60,70,71,14,9,7,9,10,14
23,76,84,12,26,1818,1,3,4,19,6,0,161,712,712,712,762,752,752,752,762,742,742,742,742,642,642,642,742,552,482,482,482,552,502,392,392,392,502,68,72,44,66,60,81,77,65,49,78,90,87,90,78,75,77,68,76,56,70,43,25,75,69,62,73,28,20,19,11,14,11,6,8,25
28,76,76,8,55,1955,2,4,4,9,5,9,179,752,752,752,762,762,762,762,762,762,762,762,752,702,702,702,752,592,562,562,562,592,562,502,502,502,562,69,76,65,72,81,81,72,58,66,78,84,76,86,77,72,77,77,76,65,74,60,25,76,73,70,73,34,45,36,13,13,10,8,10,13
24,76,83,10,18,1695,1,3,2,6,6,1,183,532,532,532,532,532,532,532,532,542,542,542,562,592,592,592,562,672,692,692,692,672,692,742,742,742,692,45,35,76,66,27,57,32,34,56,62,60,63,65,73,65,50,90,78,80,33,70,79,34,44,44,70,77,75,72,7,9,7,14,16,15
